"Semi-major Axis (m)","Eccentricity","Inclination (deg)","RAAN (deg)","Arg of Perigee (deg)","Mean Anomaly (deg)"
6978137.000,0.000000,45.003,359.884,0.000,220.982
6978137.000,0.000000,45.003,359.884,0.000,258.215
6978137.000,0.000000,45.003,359.884,0.000,295.449
6978137.000,0.000000,45.003,359.884,0.000,332.682
6978137.000,0.000000,45.003,359.884,0.000,9.916
6978137.000,0.000000,45.003,359.884,0.000,47.149
6978137.000,0.000000,45.003,359.884,0.000,84.383
6978137.000,0.000000,45.003,359.884,0.000,121.616
6978137.000,0.000000,45.003,359.884,0.000,158.850
6978137.000,0.000000,45.003,359.884,0.000,196.083
6978137.000,0.000000,45.003,359.884,0.000,233.317
6978137.000,0.000000,45.003,359.884,0.000,270.550
6978137.000,0.000000,45.003,359.884,0.000,307.783
6978137.000,0.000000,45.003,359.884,0.000,345.017
6978137.000,0.000000,45.003,359.884,0.000,22.250
6978137.000,0.000000,45.003,359.884,0.000,59.484
6978137.000,0.000000,45.003,359.884,0.000,96.717
6978137.000,0.000000,45.003,359.884,0.000,133.951
6978137.000,0.000000,45.003,359.884,0.000,171.184
6978137.000,0.000000,45.003,359.884,0.000,208.418
6978137.000,0.000000,45.003,359.884,0.000,245.651
6978137.000,0.000000,45.003,359.884,0.000,282.885
6978137.000,0.000000,45.003,359.884,0.000,320.118
6978137.000,0.000000,45.003,359.884,0.000,357.352
6978137.000,0.000000,45.003,359.884,0.000,34.585
6978137.000,0.000000,45.003,359.884,0.000,71.819
6978137.000,0.000000,45.003,359.884,0.000,109.052
6978137.000,0.000000,45.003,359.884,0.000,146.286
6978137.000,0.000000,45.003,359.884,0.000,183.519
6978137.000,0.000000,45.003,359.884,0.000,220.753
6978137.000,0.000000,45.003,359.884,0.000,257.986
6978137.000,0.000000,45.003,359.884,0.000,295.219
6978137.000,0.000000,45.003,359.884,0.000,332.453
6978137.000,0.000000,45.003,359.884,0.000,9.686
6978137.000,0.000000,45.003,359.884,0.000,46.920
6978137.000,0.000000,45.003,359.884,0.000,84.153
6978137.000,0.000000,45.003,359.884,0.000,121.387
6978137.000,0.000000,45.003,359.884,0.000,158.620
6978137.000,0.000000,45.003,359.884,0.000,195.854
6978137.000,0.000000,45.003,359.884,0.000,233.087
6978137.000,0.000000,45.003,359.884,0.000,270.321
6978137.000,0.000000,45.003,359.884,0.000,307.554
6978137.000,0.000000,45.003,359.884,0.000,344.788
6978137.000,0.000000,45.003,359.884,0.000,22.021
6978137.000,0.000000,45.003,359.884,0.000,59.255
6978137.000,0.000000,45.003,359.884,0.000,96.488
6978137.000,0.000000,45.003,359.884,0.000,133.722
6978137.000,0.000000,45.003,359.884,0.000,170.955
6978137.000,0.000000,45.003,359.884,0.000,208.188
6978137.000,0.000000,45.003,359.884,0.000,245.422
6978137.000,0.000000,45.003,359.884,0.000,282.655
6978137.000,0.000000,45.003,359.884,0.000,319.889
6978137.000,0.000000,45.003,359.884,0.000,357.122
6978137.000,0.000000,45.003,359.884,0.000,34.356
6978137.000,0.000000,45.003,359.884,0.000,71.589
6978137.000,0.000000,45.003,359.884,0.000,108.823
6978137.000,0.000000,45.003,359.884,0.000,146.056
6978137.000,0.000000,45.003,359.884,0.000,183.290
6978137.000,0.000000,45.003,359.884,0.000,220.523
