"Point Number","Latitude (deg)","Longitude (deg)","Altitude (km)","Area (km^2)","Latitude Span (deg)","Longitude Span (deg)"
129,-77.859450,272.307692,0.000000,48550.355838,2.031233,9.230769
130,-75.828217,253.846154,0.000000,56525.206727,2.031233,9.230769
131,-75.828217,263.076923,0.000000,56525.206727,2.031233,9.230769
132,-75.828217,272.307692,0.000000,56525.206727,2.031233,9.230769
133,-79.890683,281.538462,0.000000,40516.823164,2.031233,9.230769
134,-77.859450,281.538462,0.000000,48550.355838,2.031233,9.230769
135,-75.828217,281.538462,0.000000,56525.206727,2.031233,9.230769
136,-75.828217,290.769231,0.000000,56525.206727,2.031233,9.230769
137,-79.890683,309.230769,0.000000,40516.823164,2.031233,9.230769
138,-77.859450,327.692308,0.000000,48550.355838,2.031233,9.230769
139,-79.890683,336.923077,0.000000,40516.823164,2.031233,9.230769
140,-79.890683,346.153846,0.000000,40516.823164,2.031233,9.230769
141,-79.890683,355.384615,0.000000,40516.823164,2.031233,9.230769
142,-77.859450,336.923077,0.000000,48550.355838,2.031233,9.230769
143,-77.859450,346.153846,0.000000,48550.355838,2.031233,9.230769
144,-77.859450,355.384615,0.000000,48550.355838,2.031233,9.230769
145,-75.828217,346.153846,0.000000,56525.206727,2.031233,9.230769
146,-75.828217,355.384615,0.000000,56525.206727,2.031233,9.230769
147,-73.796983,3.157895,0.000000,44084.830366,2.031233,6.315789
148,-73.796983,9.473684,0.000000,44084.830366,2.031233,6.315789
149,-73.796983,15.789474,0.000000,44084.830366,2.031233,6.315789
150,-71.765750,3.157895,0.000000,49441.132013,2.031233,6.315789
151,-71.765750,9.473684,0.000000,49441.132013,2.031233,6.315789
152,-71.765750,15.789474,0.000000,49441.132013,2.031233,6.315789
153,-73.796983,22.105263,0.000000,44084.830366,2.031233,6.315789
154,-73.796983,28.421053,0.000000,44084.830366,2.031233,6.315789
155,-73.796983,34.736842,0.000000,44084.830366,2.031233,6.315789
156,-71.765750,22.105263,0.000000,49441.132013,2.031233,6.315789
157,-71.765750,28.421053,0.000000,49441.132013,2.031233,6.315789
158,-71.765750,34.736842,0.000000,49441.132013,2.031233,6.315789
159,-69.734517,34.736842,0.000000,54737.491180,2.031233,6.315789
160,-73.796983,41.052632,0.000000,44084.830366,2.031233,6.315789
161,-73.796983,47.368421,0.000000,44084.830366,2.031233,6.315789
162,-73.796983,53.684211,0.000000,44084.830366,2.031233,6.315789
163,-71.765750,41.052632,0.000000,49441.132013,2.031233,6.315789
164,-71.765750,47.368421,0.000000,49441.132013,2.031233,6.315789
165,-71.765750,53.684211,0.000000,49441.132013,2.031233,6.315789
166,-69.734517,41.052632,0.000000,54737.491180,2.031233,6.315789
167,-69.734517,47.368421,0.000000,54737.491180,2.031233,6.315789
168,-69.734517,53.684211,0.000000,54737.491180,2.031233,6.315789
169,-73.796983,60.000000,0.000000,44084.830366,2.031233,6.315789
170,-73.796983,66.315789,0.000000,44084.830366,2.031233,6.315789
171,-73.796983,72.631579,0.000000,44084.830366,2.031233,6.315789
172,-71.765750,60.000000,0.000000,49441.132013,2.031233,6.315789
173,-71.765750,66.315789,0.000000,49441.132013,2.031233,6.315789
174,-71.765750,72.631579,0.000000,49441.132013,2.031233,6.315789
175,-69.734517,60.000000,0.000000,54737.491180,2.031233,6.315789
176,-69.734517,66.315789,0.000000,54737.491180,2.031233,6.315789
177,-73.796983,78.947368,0.000000,44084.830366,2.031233,6.315789
178,-73.796983,85.263158,0.000000,44084.830366,2.031233,6.315789
179,-73.796983,91.578947,0.000000,44084.830366,2.031233,6.315789
180,-71.765750,78.947368,0.000000,49441.132013,2.031233,6.315789
181,-71.765750,85.263158,0.000000,49441.132013,2.031233,6.315789
182,-71.765750,91.578947,0.000000,49441.132013,2.031233,6.315789
183,-69.734517,78.947368,0.000000,54737.491180,2.031233,6.315789
184,-69.734517,85.263158,0.000000,54737.491180,2.031233,6.315789
185,-69.734517,91.578947,0.000000,54737.491180,2.031233,6.315789
186,-73.796983,97.894737,0.000000,44084.830366,2.031233,6.315789
187,-73.796983,104.210526,0.000000,44084.830366,2.031233,6.315789
188,-73.796983,110.526316,0.000000,44084.830366,2.031233,6.315789
189,-71.765750,97.894737,0.000000,49441.132013,2.031233,6.315789
190,-71.765750,104.210526,0.000000,49441.132013,2.031233,6.315789
191,-71.765750,110.526316,0.000000,49441.132013,2.031233,6.315789
192,-69.734517,97.894737,0.000000,54737.491180,2.031233,6.315789
193,-69.734517,104.210526,0.000000,54737.491180,2.031233,6.315789
194,-69.734517,110.526316,0.000000,54737.491180,2.031233,6.315789
195,-73.796983,116.842105,0.000000,44084.830366,2.031233,6.315789
196,-73.796983,123.157895,0.000000,44084.830366,2.031233,6.315789
197,-73.796983,129.473684,0.000000,44084.830366,2.031233,6.315789
198,-71.765750,116.842105,0.000000,49441.132013,2.031233,6.315789
199,-71.765750,123.157895,0.000000,49441.132013,2.031233,6.315789
200,-71.765750,129.473684,0.000000,49441.132013,2.031233,6.315789
201,-69.734517,116.842105,0.000000,54737.491180,2.031233,6.315789
202,-69.734517,123.157895,0.000000,54737.491180,2.031233,6.315789
203,-69.734517,129.473684,0.000000,54737.491180,2.031233,6.315789
204,-73.796983,135.789474,0.000000,44084.830366,2.031233,6.315789
205,-73.796983,142.105263,0.000000,44084.830366,2.031233,6.315789
206,-73.796983,148.421053,0.000000,44084.830366,2.031233,6.315789
207,-71.765750,135.789474,0.000000,49441.132013,2.031233,6.315789
208,-71.765750,142.105263,0.000000,49441.132013,2.031233,6.315789
209,-71.765750,148.421053,0.000000,49441.132013,2.031233,6.315789
210,-69.734517,135.789474,0.000000,54737.491180,2.031233,6.315789
211,-69.734517,142.105263,0.000000,54737.491180,2.031233,6.315789
212,-69.734517,148.421053,0.000000,54737.491180,2.031233,6.315789
213,-73.796983,154.736842,0.000000,44084.830366,2.031233,6.315789
214,-73.796983,161.052632,0.000000,44084.830366,2.031233,6.315789
215,-71.765750,154.736842,0.000000,49441.132013,2.031233,6.315789
216,-71.765750,161.052632,0.000000,49441.132013,2.031233,6.315789
217,-71.765750,167.368421,0.000000,49441.132013,2.031233,6.315789
218,-69.734517,154.736842,0.000000,54737.491180,2.031233,6.315789
219,-73.796983,262.105263,0.000000,44084.830366,2.031233,6.315789
220,-73.796983,268.421053,0.000000,44084.830366,2.031233,6.315789
221,-73.796983,274.736842,0.000000,44084.830366,2.031233,6.315789
222,-73.796983,281.052632,0.000000,44084.830366,2.031233,6.315789
223,-73.796983,287.368421,0.000000,44084.830366,2.031233,6.315789
224,-73.796983,293.684211,0.000000,44084.830366,2.031233,6.315789
225,-71.765750,293.684211,0.000000,49441.132013,2.031233,6.315789
226,-69.734517,287.368421,0.000000,54737.491180,2.031233,6.315789
227,-69.734517,293.684211,0.000000,54737.491180,2.031233,6.315789
228,-73.796983,344.210526,0.000000,44084.830366,2.031233,6.315789
229,-73.796983,350.526316,0.000000,44084.830366,2.031233,6.315789
230,-73.796983,356.842105,0.000000,44084.830366,2.031233,6.315789
231,-71.765750,350.526316,0.000000,49441.132013,2.031233,6.315789
232,-71.765750,356.842105,0.000000,49441.132013,2.031233,6.315789
233,-67.703283,50.400000,0.000000,45575.226259,2.031233,4.800000
234,-67.703283,55.200000,0.000000,45575.226259,2.031233,4.800000
235,-67.703283,60.000000,0.000000,45575.226259,2.031233,4.800000
236,-67.703283,64.800000,0.000000,45575.226259,2.031233,4.800000
237,-67.703283,84.000000,0.000000,45575.226259,2.031233,4.800000
238,-67.703283,88.800000,0.000000,45575.226259,2.031233,4.800000
239,-67.703283,93.600000,0.000000,45575.226259,2.031233,4.800000
240,-67.703283,98.400000,0.000000,45575.226259,2.031233,4.800000
241,-67.703283,103.200000,0.000000,45575.226259,2.031233,4.800000
242,-67.703283,108.000000,0.000000,45575.226259,2.031233,4.800000
243,-67.703283,112.800000,0.000000,45575.226259,2.031233,4.800000
244,-67.703283,117.600000,0.000000,45575.226259,2.031233,4.800000
245,-67.703283,122.400000,0.000000,45575.226259,2.031233,4.800000
246,-67.703283,127.200000,0.000000,45575.226259,2.031233,4.800000
247,-67.703283,132.000000,0.000000,45575.226259,2.031233,4.800000
248,-67.703283,136.800000,0.000000,45575.226259,2.031233,4.800000
249,-67.703283,141.600000,0.000000,45575.226259,2.031233,4.800000
250,-53.484650,288.333333,0.000000,49707.967045,2.031233,3.333333
251,-51.453417,285.000000,0.000000,52068.422881,2.031233,3.333333
252,-51.453417,288.333333,0.000000,52068.422881,2.031233,3.333333
253,-53.484650,291.666667,0.000000,49707.967045,2.031233,3.333333
254,-45.359717,168.292683,0.000000,51588.022571,2.031233,2.926829
